species,species_code,species_fr,species_latin,genus,family,diameter_cm,height_m,age_years,basal_area_m2,canopy_stratum,ecological_region,survey_year,plot_id,tree_id,record_id,data_quality_flag,observation_quality,small_sampling_seed,small_n_per_species,small_sampling_rule
Bouleau à papier (blanc),BOP,Bouleau à papier (blanc),Betula papyrifera,Betula,Betulaceae,18.8,15.3,54,0.027759112687119412,Codominant,Coteaux du réservoir Gouin,2017,1700602203,1700602203031,1700602203031,,A_observed_taxonomy_reviewed,20260625,50,Top 4 species by eligible plot count; one tree per species-plot; 50 sampled per species
Bouleau à papier (blanc),BOP,Bouleau à papier (blanc),Betula papyrifera,Betula,Betulaceae,27.7,15.9,,0.06026281567932279,Codominant,Coteaux du réservoir Cabonga,2017,1700610002,1700610002010,1700610002010,,A_observed_taxonomy_reviewed,20260625,50,Top 4 species by eligible plot count; one tree per species-plot; 50 sampled per species
Bouleau à papier (blanc),BOP,Bouleau à papier (blanc),Betula papyrifera,Betula,Betulaceae,17.8,17.5,88,0.024884555409084755,Codominant,Coteaux du réservoir Cabonga,2017,1700911301,1700911301013,1700911301013,,A_observed_taxonomy_reviewed,20260625,50,Top 4 species by eligible plot count; one tree per species-plot; 50 sampled per species
Bouleau à papier (blanc),BOP,Bouleau à papier (blanc),Betula papyrifera,Betula,Betulaceae,30.9,22,83,0.07499060203935176,Codominant,Coteaux du réservoir Cabonga,2017,1700914204,1700914204007,1700914204007,,A_observed_taxonomy_reviewed,20260625,50,Top 4 species by eligible plot count; one tree per species-plot; 50 sampled per species
Bouleau à papier (blanc),BOP,Bouleau à papier (blanc),Betula papyrifera,Betula,Betulaceae,19.8,13.5,67,0.030790749597833563,Intermédiaire,Massif du lac Jacques-Cartier,2017,1701008504,1701008504007,1701008504007,,A_observed_taxonomy_reviewed,20260625,50,Top 4 species by eligible plot count; one tree per species-plot; 50 sampled per species
Bouleau à papier (blanc),BOP,Bouleau à papier (blanc),Betula papyrifera,Betula,Betulaceae,15,13.2,58,0.017671458676442587,Codominant,Massif du lac Jacques-Cartier,2017,1701114302,1701114302023,1701114302023,,A_observed_taxonomy_reviewed,20260625,50,Top 4 species by eligible plot count; one tree per species-plot; 50 sampled per species
Bouleau à papier (blanc),BOP,Bouleau à papier (blanc),Betula papyrifera,Betula,Betulaceae,10.2,10.2,32,0.00817128249198705,Intermédiaire,Hautes collines de Charlevoix et du Saguenay,2017,1701207103,1701207103047,1701207103047,,A_observed_taxonomy_reviewed,20260625,50,Top 4 species by eligible plot count; one tree per species-plot; 50 sampled per species
Bouleau à papier (blanc),BOP,Bouleau à papier (blanc),Betula papyrifera,Betula,Betulaceae,17.8,12.2,58,0.024884555409084755,Codominant,Massif du lac Jacques-Cartier,2017,1701208702,1701208702029,1701208702029,,A_observed_taxonomy_reviewed,20260625,50,Top 4 species by eligible plot count; one tree per species-plot; 50 sampled per species
Bouleau à papier (blanc),BOP,Bouleau à papier (blanc),Betula papyrifera,Betula,Betulaceae,13.9,14.4,39,0.015174677915002103,Codominant,Collines du lac Nominingue,2017,1706604704,1706604704058,1706604704058,,A_observed_taxonomy_reviewed,20260625,50,Top 4 species by eligible plot count; one tree per species-plot; 50 sampled per species
Bouleau à papier (blanc),BOP,Bouleau à papier (blanc),Betula papyrifera,Betula,Betulaceae,16.8,15.1,32,0.022167077763729583,Codominant,Collines des moyennes Appalaches,2019,1900100804,1900100804019,1900100804019,,A_observed_taxonomy_reviewed,20260625,50,Top 4 species by eligible plot count; one tree per species-plot; 50 sampled per species
Bouleau à papier (blanc),BOP,Bouleau à papier (blanc),Betula papyrifera,Betula,Betulaceae,9.4,11.6,53,0.006939778171779853,Intermédiaire,Côte gaspésienne,2019,1900500404,1900500404017,1900500404017,,A_observed_taxonomy_reviewed,20260625,50,Top 4 species by eligible plot count; one tree per species-plot; 50 sampled per species
