"classe","sexe","groupe_age","classe_num","survecu"
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,1
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Homme","Adulte",1,0
"Première","Femme","Adulte",1,1
"Première","Femme","Adulte",1,1
"Première","Femme","Adulte",1,1
"Première","Femme","Adulte",1,1
"Première","Femme","Adulte",1,1
"Première","Femme","Adulte",1,1
"Première","Femme","Adulte",1,1
"Première","Femme","Adulte",1,1
"Première","Femme","Adulte",1,1
"Première","Femme","Adulte",1,1
"Première","Femme","Adulte",1,1
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Adulte",1,0
"Première","Femme","Enfant",1,1
"Première","Femme","Enfant",1,0
"Première","Femme","Enfant",1,0
"Première","Femme","Enfant",1,0
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,1
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
"Deuxième","Homme","Adulte",2,0
